" ","Area","X","Y","class"
1,2,219,1.5,0
2,13,404.654,3.577,0
3,190,410.784,19.8,0
4,13,473.5,1.5,0
5,4,538,1.5,0
6,5,543.5,1.5,0
7,3,549.5,1.5,0
8,4,557,1.5,0
9,2,565,1.5,0
10,2,561,2.5,0
11,28,220.393,9.321,0
12,2,537,7.5,0
13,13,542.423,13.192,0
14,1,216.5,12.5,0
15,3,550.833,12.833,0
16,177,566.076,20.263,0
17,17,320.382,54.382,0
18,2,312,49.5,0
19,1,309.5,50.5,0
20,1,306.5,51.5,0
21,1,304.5,52.5,0
22,1,302.5,54.5,0
23,2,648,54.5,0
24,56,645,60.286,0
25,83,465.283,62.813,0
26,1,300.5,57.5,0
27,1,299.5,60.5,0
28,2,298.5,64,0
29,4,322.5,66,0
30,3,646.167,66.167,0
31,64,337.578,73.75,0
32,5,649.7,66.9,0
33,2,299.5,68,0
34,14,348.071,72,0
35,1,321.5,69.5,0
36,1,300.5,70.5,0
37,2,319,72,0
38,1,302.5,72.5,0
39,1,316.5,72.5,0
40,24,158.375,76.667,0
41,10,309,73.5,0
42,20,174,80.55,0
43,20,166.1,86,0
44,129,398.709,102.965,0
45,2,602,90,0
46,5,148.3,91.9,0
47,1,159.5,91.5,0
48,1,600.5,91.5,0
49,211,609.329,116.581,0
50,15,595.9,117.7,0
51,56,490.357,126.393,0
52,41,345.256,123.598,0
53,1,595.5,122.5,0
54,2,597,125,0
55,130,191.792,131.415,0
56,27,478.796,130.463,0
57,1,603.5,125.5,0
58,75,308.7,133.06,0
59,3,275.5,128.167,0
60,3,599.5,128.5,0
61,1,281.5,128.5,0
62,19,353.974,132.553,0
63,6,269,132,0
64,1,283.5,129.5,0
65,1,285.5,130.5,0
66,4,288,134,0
67,1,265.5,136.5,0
68,12,342.25,138.75,0
69,2,290.5,138,0
70,66,465.288,160.212,0
71,58,280.069,147,0
72,1,265.5,144.5,0
73,1,499.5,144.5,0
74,2,368,145.5,0
75,2,364,146.5,0
76,3,371.5,146.5,0
77,9,502.056,149.833,0
78,1,266.5,147.5,0
79,6,359,148.667,0
80,1,374.5,147.5,0
81,38,198.553,153.105,0
82,2,377,149,0
83,2,268,150,0
84,12,382.917,155.417,0
85,3,351.5,154.5,0
86,1,501.5,155.5,0
87,1,349.5,157.5,0
88,20,497,165.95,0
89,2,348.5,160,0
90,6,347.5,165,0
91,48,377.833,178.062,0
92,4,315,165,0
93,2,323,164.5,0
94,1,326.5,165.5,0
95,42,297.69,171.905,0
96,4,330,167.75,0
97,1,333.5,169.5,0
98,4,505.25,171,0
99,2,510,170,0
100,1,348.5,170.5,0
101,1,334.5,172.5,0
102,19,355.553,178.395,0
103,2,511.5,173,0
104,2,336,176,0
105,1,471.5,175.5,0
106,3,486.833,176.5,0
107,30,512.3,185.367,0
108,3,483.5,176.5,0
109,1,503.5,176.5,0
110,4,501.5,180,0
111,5,336.5,181.5,0
112,1,285.5,181.5,0
113,108,564.463,194.954,0
114,3,281.5,184.5,0
115,7,500.929,186.5,0
116,13,304.5,187.346,0
117,1,335.5,186.5,0
118,1,279.5,187.5,0
119,215,83.5,205.286,0
120,1,310.5,189.5,0
121,3,331.5,190.5,0
122,1,312.5,190.5,0
123,1,504.5,190.5,0
124,3,103.5,192.5,0
125,1,278.5,191.5,0
126,1,314.5,191.5,0
127,1,316.5,192.5,0
128,1,327.5,192.5,0
129,2,320,193.5,0
130,1,325.5,193.5,0
131,1,301.5,194.5,0
132,1,105.5,196.5,0
133,1,300.5,196.5,0
134,4,632.5,197,0
135,133,447.297,210.492,0
136,7,106.214,201.5,0
137,1,299.5,198.5,0
138,47,582.33,213.564,0
139,7,282.929,201.643,0
140,11,290.682,203.5,0
141,1,71.5,202.5,0
142,1,296.5,202.5,0
143,179,202.606,226.612,0
144,269,146.541,236.671,0
145,8,402,225.5,0
146,9,411.5,225.389,0
147,181,408.577,248.417,0
148,20,422.8,232.2,0
149,3,297.5,228.5,0
150,2,304,228.5,0
151,1,292.5,229.5,0
152,1,306.5,229.5,0
153,2,290,231,0
154,1,308.5,230.5,0
155,4,312,233,0
156,8,284.5,236,0
157,1,314.5,236.5,0
158,1,431.5,236.5,0
159,4,134.25,239,0
160,1,159.5,238.5,0
161,8,315.5,243,0
162,16,283.75,248.688,0
163,1,435.5,241.5,0
164,10,620,244.2,0
165,1,613.5,244.5,0
166,3,610.5,245.5,0
167,1,607.5,246.5,0
168,4,431,248,0
169,4,628,248.75,0
170,130,601.5,267.4,0
171,9,311.389,253.389,0
172,192,556.292,271.021,0
173,2,630.5,252,0
174,12,427.167,256.333,0
175,3,631.5,255.5,0
176,1,118.5,256.5,0
177,4,124.75,258,0
178,1,290.5,256.5,0
179,4,434,257,0
180,2,116,258,0
181,3,293.5,257.5,0
182,6,303,257.833,0
183,1,436.5,258.5,0
184,4,632.5,260,0
185,1,113.5,259.5,0
186,2,349,261,0
187,2,353,260.5,0
188,14,353.786,265.143,0
189,1,112.5,262.5,0
190,2,125.5,264,0
191,2,347.5,264,0
192,4,631.5,265,0
193,4,110.75,266,0
194,35,114.271,272.243,0
195,4,428,267.75,0
196,2,595,268,0
197,1,630.5,269.5,0
198,9,442.833,273.167,0
199,2,629.5,272,0
200,2,628,275,0
201,1,602.5,277.5,0
202,1,624.5,277.5,0
203,3,621.5,279.167,0
204,6,615,280.167,0
205,100,199.05,299.79,0
206,154,357.89,293.539,0
207,94,408.926,300.596,0
208,157,436.965,302.067,0
209,65,609.715,299.885,0
210,144,466.097,302.167,0
211,1,365.5,297.5,0
212,11,508.227,301.682,0
213,1,504.5,301.5,0
214,1,512.5,302.5,0
215,3,502.5,304.5,0
216,1,511.5,304.5,0
217,96,622.958,320.104,0
218,12,508.333,308.083,0
219,1,511.5,306.5,0
220,23,528.457,313.413,0
221,4,536,307.75,0
222,3,517.5,309.5,0
223,6,513.5,311,0
224,2,541,310,0
225,2,544,311.5,0
226,52,546.692,321.442,0
227,2,164.5,316,0
228,4,200,316.5,0
229,38,169.132,322.974,0
230,119,227.298,325.382,0
231,6,600,319.5,0
232,7,159.357,319.357,0
233,2,172,321,0
234,161,456.264,332.978,0
235,70,484.2,325.186,0
236,1,455.5,321.5,0
237,2,534,322,0
238,1,604.5,321.5,0
239,14,553.214,323.857,0
240,2,337.5,325,0
241,66,334.485,330.394,0
242,1,537.5,324.5,0
243,1,539.5,326.5,0
244,7,473.5,328.5,0
245,10,553.9,329.9,0
246,2,347.5,329,0
247,1,543.5,328.5,0
248,26,269.692,333,0
249,5,561.3,332.1,0
250,20,352.7,334.45,0
251,1,443.5,331.5,0
252,2,442,333,0
253,4,478,334,0
254,27,560.093,341.167,0
255,46,265.587,345.065,0
256,25,333.02,342.38,0
257,39,352.782,347.321,0
258,64,421.969,353.75,0
259,2,567,342,0
260,2,328,344,0
261,1,411.5,344.5,0
262,1,567.5,344.5,0
263,103,395.267,355.413,0
264,3,336.5,346.5,0
265,2,566,346.5,0
266,196,308.036,361.347,0
267,43,561.43,353.57,0
268,27,545.907,356.352,0
269,43,523.221,359.36,0
270,4,352,356.25,0
271,1,231.5,356.5,0
272,16,341.75,359.5,0
273,61,230.172,362.467,0
274,12,359.917,359.417,0
275,2,368,361.5,0
276,4,371.75,364,0
277,1,404.5,362.5,0
278,5,237.7,363.9,0
279,323,285.101,382.859,0
280,4,511.5,365.75,0
281,12,530.583,367.75,0
282,5,334.7,368.1,0
283,18,345.111,368.222,0
284,1,401.5,367.5,0
285,1,503.5,367.5,0
286,2,602.5,368,0
287,3,372.5,369.5,0
288,5,396.5,368.5,0
289,1,563.5,368.5,0
290,4,600,369,0
291,3,560.5,370.5,0
292,4,567,369.5,0
293,1,500.5,370.5,0
294,13,523.962,372.192,0
295,1,570.5,370.5,0
296,6,602.333,371.5,0
297,14,353.857,375.429,0
298,1,371.5,372.5,0
299,3,499.5,373.5,0
300,1,528.5,372.5,0
301,11,571.136,376.682,0
302,5,557.5,375.5,0
303,1,370.5,374.5,0
304,235,675.896,389.611,0
305,7,497.643,379.357,0
306,2,522,377,0
307,4,527,377,0
308,1,367.5,377.5,0
309,3,518.5,377.5,0
310,1,682.5,377.5,0
311,5,359.5,379.3,0
312,1,448.5,378.5,0
313,1,452.5,378.5,0
314,8,444.125,381.5,0
315,1,516.5,379.5,0
316,2,559,380,0
317,1,455.5,380.5,0
318,1,457.5,381.5,0
319,4,514,383,0
320,1,459.5,382.5,0
321,2,493,383,0
322,2,562,382.5,0
323,1,566.5,382.5,0
324,1,460.5,384.5,0
325,15,232.3,388.433,0
326,14,310.857,387.929,0
327,2,491,386,0
328,7,510.643,388.5,0
329,3,437.5,387.5,0
330,4,262.5,388.75,0
331,16,317.938,389.625,0
332,2,462,388,0
333,1,1.5,388.5,0
334,25,492.18,400.06,0
335,5,463.5,392.5,0
336,1,436.5,391.5,0
337,1,437.5,393.5,0
338,1,512.5,393.5,0
339,4,224,395,0
340,8,394,396,0
341,1,399.5,395.5,0
342,10,567.9,396.4,0
343,4,573,395.75,0
344,36,261.222,401.111,0
345,1,283.5,396.5,0
346,24,508.625,399.042,0
347,1,388.5,397.5,0
348,1,462.5,397.5,0
349,1,386.5,398.5,0
